Sensor,Date_Time,Date,Time,Count
New Quay,2020-07-07T15:00:00Z,2020-07-08,1,9
Flagstaff Station,2020-07-07T15:00:00Z,2020-07-08,1,NA
Sandridge Bridge,2020-07-07T15:00:00Z,2020-07-08,1,NA
State Library,2020-07-07T15:00:00Z,2020-07-08,1,NA
Collins St (North),2020-07-07T15:00:00Z,2020-07-08,1,7
Collins Place (South),2020-07-07T15:00:00Z,2020-07-08,1,2
Collins Place (North),2020-07-07T15:00:00Z,2020-07-08,1,6
Chinatown-Swanston St (North),2020-07-07T15:00:00Z,2020-07-08,1,31
Chinatown-Lt Bourke St (South),2020-07-07T15:00:00Z,2020-07-08,1,5
Bourke St-Russell St (West),2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders St-Elizabeth St (East),2020-07-07T15:00:00Z,2020-07-08,1,84
Spencer St-Collins St (South),2020-07-07T15:00:00Z,2020-07-08,1,11
Spencer St-Collins St (North),2020-07-07T15:00:00Z,2020-07-08,1,20
Melbourne Convention Exhibition Centre,2020-07-07T15:00:00Z,2020-07-08,1,36
QV Market-Elizabeth St (West),2020-07-07T15:00:00Z,2020-07-08,1,69
QV Market-Peel St,2020-07-07T15:00:00Z,2020-07-08,1,NA
The Arts Centre,2020-07-07T15:00:00Z,2020-07-08,1,23
St Kilda Rd-Alexandra Gardens,2020-07-07T15:00:00Z,2020-07-08,1,7
Lonsdale St (South),2020-07-07T15:00:00Z,2020-07-08,1,18
Lygon St (West),2020-07-07T15:00:00Z,2020-07-08,1,9
City Square,2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders St-Spring St (West),2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders St-Spark La,2020-07-07T15:00:00Z,2020-07-08,1,2
Southbank,2020-07-07T15:00:00Z,2020-07-08,1,10
Queen St (West),2020-07-07T15:00:00Z,2020-07-08,1,8
Lygon St (East),2020-07-07T15:00:00Z,2020-07-08,1,8
Alfred Place,2020-07-07T15:00:00Z,2020-07-08,1,NA
Lonsdale St-Spring St (West),2020-07-07T15:00:00Z,2020-07-08,1,4
Grattan St-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,6
Monash Rd-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,3
Tin Alley-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,2
Little Collins St-Swanston St (East),2020-07-07T15:00:00Z,2020-07-08,1,21
Flinders La-Swanston St (West),2020-07-07T15:00:00Z,2020-07-08,1,60
Pelham St (South),2020-07-07T15:00:00Z,2020-07-08,1,9
Melbourne Central-Elizabeth St (East),2020-07-07T15:00:00Z,2020-07-08,1,35
QVM-Queen St (East),2020-07-07T15:00:00Z,2020-07-08,1,2
QVM-Therry St (South),2020-07-07T15:00:00Z,2020-07-08,1,61
Faraday St-Lygon St (West),2020-07-07T15:00:00Z,2020-07-08,1,4
QVM-Franklin St (North),2020-07-07T15:00:00Z,2020-07-08,1,9
Elizabeth St-Lonsdale St (South),2020-07-07T15:00:00Z,2020-07-08,1,6
Lincoln-Swanston (W),2020-07-07T15:00:00Z,2020-07-08,1,1
Elizabeth St-La Trobe St (East),2020-07-07T15:00:00Z,2020-07-08,1,NA
Lonsdale St - Elizabeth St (North),2020-07-07T15:00:00Z,2020-07-08,1,13
Bourke St Bridge,2020-07-07T15:00:00Z,2020-07-08,1,6
Bourke St - Spencer St (North),2020-07-07T15:00:00Z,2020-07-08,1,13
RMIT Bld 80 - 445 Swanston Street,2020-07-07T15:00:00Z,2020-07-08,1,NA
Flinders La-Swanston St (West) Temporary,2020-07-07T15:00:00Z,2020-07-08,1,NA
RMIT Building 14,2020-07-07T15:00:00Z,2020-07-08,1,11
380 Elizabeth St,2020-07-07T15:00:00Z,2020-07-08,1,96
La Trobe St (North),2020-07-07T15:00:00Z,2020-07-08,1,NA
231 Bourke St,2020-07-07T15:00:00Z,2020-07-08,1,23
Royal Pde - Grattan St,2020-07-07T15:00:00Z,2020-07-08,1,2
Bourke Street Mall (North),2020-07-07T16:00:00Z,2020-07-08,2,4
Bourke Street Mall (South),2020-07-07T16:00:00Z,2020-07-08,2,6
Melbourne Central,2020-07-07T16:00:00Z,2020-07-08,2,52
Town Hall (West),2020-07-07T16:00:00Z,2020-07-08,2,15
Princes Bridge,2020-07-07T16:00:00Z,2020-07-08,2,18
Flinders Street Station Underpass,2020-07-07T16:00:00Z,2020-07-08,2,7
Birrarung Marr,2020-07-07T16:00:00Z,2020-07-08,2,NA
Webb Bridge,2020-07-07T16:00:00Z,2020-07-08,2,4
Southern Cross Station,2020-07-07T16:00:00Z,2020-07-08,2,5
Victoria Point,2020-07-07T16:00:00Z,2020-07-08,2,NA
Waterfront City,2020-07-07T16:00:00Z,2020-07-08,2,NA
New Quay,2020-07-07T16:00:00Z,2020-07-08,2,3
Flagstaff Station,2020-07-07T16:00:00Z,2020-07-08,2,NA
Sandridge Bridge,2020-07-07T16:00:00Z,2020-07-08,2,NA
State Library,2020-07-07T16:00:00Z,2020-07-08,2,NA
Collins St (North),2020-07-07T16:00:00Z,2020-07-08,2,6
Collins Place (South),2020-07-07T16:00:00Z,2020-07-08,2,4
Collins Place (North),2020-07-07T16:00:00Z,2020-07-08,2,6
Chinatown-Swanston St (North),2020-07-07T16:00:00Z,2020-07-08,2,35
Chinatown-Lt Bourke St (South),2020-07-07T16:00:00Z,2020-07-08,2,8
Bourke St-Russell St (West),2020-07-07T16:00:00Z,2020-07-08,2,NA
Flinders St-Elizabeth St (East),2020-07-07T16:00:00Z,2020-07-08,2,46
Spencer St-Collins St (South),2020-07-07T16:00:00Z,2020-07-08,2,8
Spencer St-Collins St (North),2020-07-07T16:00:00Z,2020-07-08,2,9
Melbourne Convention Exhibition Centre,2020-07-07T16:00:00Z,2020-07-08,2,13
QV Market-Elizabeth St (West),2020-07-07T16:00:00Z,2020-07-08,2,40
QV Market-Peel St,2020-07-07T16:00:00Z,2020-07-08,2,2
The Arts Centre,2020-07-07T16:00:00Z,2020-07-08,2,11
St Kilda Rd-Alexandra Gardens,2020-07-07T16:00:00Z,2020-07-08,2,1
Lonsdale St (South),2020-07-07T16:00:00Z,2020-07-08,2,8
Lygon St (West),2020-07-07T16:00:00Z,2020-07-08,2,14
City Square,2020-07-07T16:00:00Z,2020-07-08,2,NA
Flinders St-Spring St (West),2020-07-07T16:00:00Z,2020-07-08,2,NA
Flinders St-Spark La,2020-07-07T16:00:00Z,2020-07-08,2,NA
Southbank,2020-07-07T16:00:00Z,2020-07-08,2,2
Queen St (West),2020-07-07T16:00:00Z,2020-07-08,2,4
Lygon St (East),2020-07-07T16:00:00Z,2020-07-08,2,8
Alfred Place,2020-07-07T16:00:00Z,2020-07-08,2,1
Lonsdale St-Spring St (West),2020-07-07T16:00:00Z,2020-07-08,2,1
Grattan St-Swanston St (West),2020-07-07T16:00:00Z,2020-07-08,2,1
Monash Rd-Swanston St (West),2020-07-07T16:00:00Z,2020-07-08,2,2
Tin Alley-Swanston St (West),2020-07-07T16:00:00Z,2020-07-08,2,NA
Little Collins St-Swanston St (East),2020-07-07T16:00:00Z,2020-07-08,2,8
Flinders La-Swanston St (West),2020-07-07T16:00:00Z,2020-07-08,2,32
Pelham St (South),2020-07-07T16:00:00Z,2020-07-08,2,4
Melbourne Central-Elizabeth St (East),2020-07-07T16:00:00Z,2020-07-08,2,17
QVM-Queen St (East),2020-07-07T16:00:00Z,2020-07-08,2,4
QVM-Therry St (South),2020-07-07T16:00:00Z,2020-07-08,2,37
Faraday St-Lygon St (West),2020-07-07T16:00:00Z,2020-07-08,2,5
QVM-Franklin St (North),2020-07-07T16:00:00Z,2020-07-08,2,9
Elizabeth St-Lonsdale St (South),2020-07-07T16:00:00Z,2020-07-08,2,5
Lincoln-Swanston (W),2020-07-07T16:00:00Z,2020-07-08,2,NA
Elizabeth St-La Trobe St (East),2020-07-07T16:00:00Z,2020-07-08,2,NA
Lonsdale St - Elizabeth St (North),2020-07-07T16:00:00Z,2020-07-08,2,10
Bourke St Bridge,2020-07-07T16:00:00Z,2020-07-08,2,NA
Bourke St - Spencer St (North),2020-07-07T16:00:00Z,2020-07-08,2,8
RMIT Bld 80 - 445 Swanston Street,2020-07-07T16:00:00Z,2020-07-08,2,NA
Flinders La-Swanston St (West) Temporary,2020-07-07T16:00:00Z,2020-07-08,2,NA
RMIT Building 14,2020-07-07T16:00:00Z,2020-07-08,2,14
380 Elizabeth St,2020-07-07T16:00:00Z,2020-07-08,2,69
La Trobe St (North),2020-07-07T16:00:00Z,2020-07-08,2,NA
231 Bourke St,2020-07-07T16:00:00Z,2020-07-08,2,12
Royal Pde - Grattan St,2020-07-07T16:00:00Z,2020-07-08,2,5
Bourke Street Mall (North),2020-07-07T17:00:00Z,2020-07-08,3,13
Bourke Street Mall (South),2020-07-07T17:00:00Z,2020-07-08,3,6
Melbourne Central,2020-07-07T17:00:00Z,2020-07-08,3,11
Town Hall (West),2020-07-07T17:00:00Z,2020-07-08,3,19
Princes Bridge,2020-07-07T17:00:00Z,2020-07-08,3,28
Flinders Street Station Underpass,2020-07-07T17:00:00Z,2020-07-08,3,10
Birrarung Marr,2020-07-07T17:00:00Z,2020-07-08,3,2
Webb Bridge,2020-07-07T17:00:00Z,2020-07-08,3,2
Southern Cross Station,2020-07-07T17:00:00Z,2020-07-08,3,1
Victoria Point,2020-07-07T17:00:00Z,2020-07-08,3,NA
Waterfront City,2020-07-07T17:00:00Z,2020-07-08,3,NA
New Quay,2020-07-07T17:00:00Z,2020-07-08,3,2
Flagstaff Station,2020-07-07T17:00:00Z,2020-07-08,3,NA
Sandridge Bridge,2020-07-07T17:00:00Z,2020-07-08,3,NA
State Library,2020-07-07T17:00:00Z,2020-07-08,3,NA
Collins St (North),2020-07-07T17:00:00Z,2020-07-08,3,10
Collins Place (South),2020-07-07T17:00:00Z,2020-07-08,3,1
Collins Place (North),2020-07-07T17:00:00Z,2020-07-08,3,NA
Chinatown-Swanston St (North),2020-07-07T17:00:00Z,2020-07-08,3,8
Chinatown-Lt Bourke St (South),2020-07-07T17:00:00Z,2020-07-08,3,13
Bourke St-Russell St (West),2020-07-07T17:00:00Z,2020-07-08,3,NA
Flinders St-Elizabeth St (East),2020-07-07T17:00:00Z,2020-07-08,3,63
Spencer St-Collins St (South),2020-07-07T17:00:00Z,2020-07-08,3,NA
Spencer St-Collins St (North),2020-07-07T17:00:00Z,2020-07-08,3,18
Melbourne Convention Exhibition Centre,2020-07-07T17:00:00Z,2020-07-08,3,27
QV Market-Elizabeth St (West),2020-07-07T17:00:00Z,2020-07-08,3,39
QV Market-Peel St,2020-07-07T17:00:00Z,2020-07-08,3,4
The Arts Centre,2020-07-07T17:00:00Z,2020-07-08,3,29
St Kilda Rd-Alexandra Gardens,2020-07-07T17:00:00Z,2020-07-08,3,3
Lonsdale St (South),2020-07-07T17:00:00Z,2020-07-08,3,21
Lygon St (West),2020-07-07T17:00:00Z,2020-07-08,3,1
City Square,2020-07-07T17:00:00Z,2020-07-08,3,NA
Flinders St-Spring St (West),2020-07-07T17:00:00Z,2020-07-08,3,NA
Flinders St-Spark La,2020-07-07T17:00:00Z,2020-07-08,3,1
Southbank,2020-07-07T17:00:00Z,2020-07-08,3,3
Queen St (West),2020-07-07T17:00:00Z,2020-07-08,3,4
Lygon St (East),2020-07-07T17:00:00Z,2020-07-08,3,NA
Alfred Place,2020-07-07T17:00:00Z,2020-07-08,3,1
Lonsdale St-Spring St (West),2020-07-07T17:00:00Z,2020-07-08,3,9
Grattan St-Swanston St (West),2020-07-07T17:00:00Z,2020-07-08,3,4
Monash Rd-Swanston St (West),2020-07-07T17:00:00Z,2020-07-08,3,1
Tin Alley-Swanston St (West),2020-07-07T17:00:00Z,2020-07-08,3,4
Little Collins St-Swanston St (East),2020-07-07T17:00:00Z,2020-07-08,3,12
Flinders La-Swanston St (West),2020-07-07T17:00:00Z,2020-07-08,3,32
Pelham St (South),2020-07-07T17:00:00Z,2020-07-08,3,6
Melbourne Central-Elizabeth St (East),2020-07-07T17:00:00Z,2020-07-08,3,29
QVM-Queen St (East),2020-07-07T17:00:00Z,2020-07-08,3,1
QVM-Therry St (South),2020-07-07T17:00:00Z,2020-07-08,3,19
Faraday St-Lygon St (West),2020-07-07T17:00:00Z,2020-07-08,3,1
QVM-Franklin St (North),2020-07-07T17:00:00Z,2020-07-08,3,7
Elizabeth St-Lonsdale St (South),2020-07-07T17:00:00Z,2020-07-08,3,3
Lincoln-Swanston (W),2020-07-07T17:00:00Z,2020-07-08,3,NA
Elizabeth St-La Trobe St (East),2020-07-07T17:00:00Z,2020-07-08,3,NA
Lonsdale St - Elizabeth St (North),2020-07-07T17:00:00Z,2020-07-08,3,9
Bourke St Bridge,2020-07-07T17:00:00Z,2020-07-08,3,NA
Bourke St - Spencer St (North),2020-07-07T17:00:00Z,2020-07-08,3,5
RMIT Bld 80 - 445 Swanston Street,2020-07-07T17:00:00Z,2020-07-08,3,NA
