Sensor,Date_Time,Date,Time,Count
Lonsdale St (South),2020-07-14T01:00:00Z,2020-07-14,11,169
Lygon St (West),2020-07-14T01:00:00Z,2020-07-14,11,89
City Square,2020-07-14T01:00:00Z,2020-07-14,11,NA
Flinders St-Spring St (West),2020-07-14T01:00:00Z,2020-07-14,11,NA
Flinders St-Spark La,2020-07-14T01:00:00Z,2020-07-14,11,79
Southbank,2020-07-14T01:00:00Z,2020-07-14,11,336
Queen St (West),2020-07-14T01:00:00Z,2020-07-14,11,112
Lygon St (East),2020-07-14T01:00:00Z,2020-07-14,11,70
Alfred Place,2020-07-14T01:00:00Z,2020-07-14,11,51
Lonsdale St-Spring St (West),2020-07-14T01:00:00Z,2020-07-14,11,132
Grattan St-Swanston St (West),2020-07-14T01:00:00Z,2020-07-14,11,84
Monash Rd-Swanston St (West),2020-07-14T01:00:00Z,2020-07-14,11,35
Tin Alley-Swanston St (West),2020-07-14T01:00:00Z,2020-07-14,11,36
Little Collins St-Swanston St (East),2020-07-14T01:00:00Z,2020-07-14,11,262
Flinders La-Swanston St (West),2020-07-14T01:00:00Z,2020-07-14,11,537
Pelham St (South),2020-07-14T01:00:00Z,2020-07-14,11,47
Melbourne Central-Elizabeth St (East),2020-07-14T01:00:00Z,2020-07-14,11,350
QVM-Queen St (East),2020-07-14T01:00:00Z,2020-07-14,11,201
QVM-Therry St (South),2020-07-14T01:00:00Z,2020-07-14,11,135
Faraday St-Lygon St (West),2020-07-14T01:00:00Z,2020-07-14,11,146
QVM-Franklin St (North),2020-07-14T01:00:00Z,2020-07-14,11,109
Elizabeth St-Lonsdale St (South),2020-07-14T01:00:00Z,2020-07-14,11,115
Lincoln-Swanston (W),2020-07-14T01:00:00Z,2020-07-14,11,2
Elizabeth St-La Trobe St (East),2020-07-14T01:00:00Z,2020-07-14,11,NA
Lonsdale St - Elizabeth St (North),2020-07-14T01:00:00Z,2020-07-14,11,118
Bourke St Bridge,2020-07-14T01:00:00Z,2020-07-14,11,65
Bourke St - Spencer St (North),2020-07-14T01:00:00Z,2020-07-14,11,176
RMIT Bld 80 - 445 Swanston Street,2020-07-14T01:00:00Z,2020-07-14,11,44
Flinders La-Swanston St (West) Temporary,2020-07-14T01:00:00Z,2020-07-14,11,NA
RMIT Building 14,2020-07-14T01:00:00Z,2020-07-14,11,143
380 Elizabeth St,2020-07-14T01:00:00Z,2020-07-14,11,520
La Trobe St (North),2020-07-14T01:00:00Z,2020-07-14,11,NA
231 Bourke St,2020-07-14T01:00:00Z,2020-07-14,11,178
Royal Pde - Grattan St,2020-07-14T01:00:00Z,2020-07-14,11,92
Bourke Street Mall (North),2020-07-14T02:00:00Z,2020-07-14,12,556
Bourke Street Mall (South),2020-07-14T02:00:00Z,2020-07-14,12,448
Melbourne Central,2020-07-14T02:00:00Z,2020-07-14,12,405
Town Hall (West),2020-07-14T02:00:00Z,2020-07-14,12,682
Princes Bridge,2020-07-14T02:00:00Z,2020-07-14,12,381
Flinders Street Station Underpass,2020-07-14T02:00:00Z,2020-07-14,12,274
Birrarung Marr,2020-07-14T02:00:00Z,2020-07-14,12,161
Webb Bridge,2020-07-14T02:00:00Z,2020-07-14,12,187
Southern Cross Station,2020-07-14T02:00:00Z,2020-07-14,12,122
Victoria Point,2020-07-14T02:00:00Z,2020-07-14,12,64
Waterfront City,2020-07-14T02:00:00Z,2020-07-14,12,63
New Quay,2020-07-14T02:00:00Z,2020-07-14,12,188
Flagstaff Station,2020-07-14T02:00:00Z,2020-07-14,12,NA
Sandridge Bridge,2020-07-14T02:00:00Z,2020-07-14,12,7
State Library,2020-07-14T02:00:00Z,2020-07-14,12,NA
Collins St (North),2020-07-14T02:00:00Z,2020-07-14,12,461
Collins Place (South),2020-07-14T02:00:00Z,2020-07-14,12,271
Collins Place (North),2020-07-14T02:00:00Z,2020-07-14,12,120
Chinatown-Swanston St (North),2020-07-14T02:00:00Z,2020-07-14,12,204
Chinatown-Lt Bourke St (South),2020-07-14T02:00:00Z,2020-07-14,12,67
Bourke St-Russell St (West),2020-07-14T02:00:00Z,2020-07-14,12,NA
Flinders St-Elizabeth St (East),2020-07-14T02:00:00Z,2020-07-14,12,861
Spencer St-Collins St (South),2020-07-14T02:00:00Z,2020-07-14,12,167
Spencer St-Collins St (North),2020-07-14T02:00:00Z,2020-07-14,12,445
Melbourne Convention Exhibition Centre,2020-07-14T02:00:00Z,2020-07-14,12,403
QV Market-Elizabeth St (West),2020-07-14T02:00:00Z,2020-07-14,12,571
QV Market-Peel St,2020-07-14T02:00:00Z,2020-07-14,12,142
The Arts Centre,2020-07-14T02:00:00Z,2020-07-14,12,204
St Kilda Rd-Alexandra Gardens,2020-07-14T02:00:00Z,2020-07-14,12,114
Lonsdale St (South),2020-07-14T02:00:00Z,2020-07-14,12,146
Lygon St (West),2020-07-14T02:00:00Z,2020-07-14,12,173
City Square,2020-07-14T02:00:00Z,2020-07-14,12,NA
Flinders St-Spring St (West),2020-07-14T02:00:00Z,2020-07-14,12,NA
Flinders St-Spark La,2020-07-14T02:00:00Z,2020-07-14,12,62
Southbank,2020-07-14T02:00:00Z,2020-07-14,12,454
Queen St (West),2020-07-14T02:00:00Z,2020-07-14,12,159
Lygon St (East),2020-07-14T02:00:00Z,2020-07-14,12,103
Alfred Place,2020-07-14T02:00:00Z,2020-07-14,12,113
Lonsdale St-Spring St (West),2020-07-14T02:00:00Z,2020-07-14,12,169
Grattan St-Swanston St (West),2020-07-14T02:00:00Z,2020-07-14,12,135
Monash Rd-Swanston St (West),2020-07-14T02:00:00Z,2020-07-14,12,58
Tin Alley-Swanston St (West),2020-07-14T02:00:00Z,2020-07-14,12,28
Little Collins St-Swanston St (East),2020-07-14T02:00:00Z,2020-07-14,12,368
Flinders La-Swanston St (West),2020-07-14T02:00:00Z,2020-07-14,12,725
Pelham St (South),2020-07-14T02:00:00Z,2020-07-14,12,50
Melbourne Central-Elizabeth St (East),2020-07-14T02:00:00Z,2020-07-14,12,451
QVM-Queen St (East),2020-07-14T02:00:00Z,2020-07-14,12,220
QVM-Therry St (South),2020-07-14T02:00:00Z,2020-07-14,12,189
Faraday St-Lygon St (West),2020-07-14T02:00:00Z,2020-07-14,12,202
QVM-Franklin St (North),2020-07-14T02:00:00Z,2020-07-14,12,139
Elizabeth St-Lonsdale St (South),2020-07-14T02:00:00Z,2020-07-14,12,127
Lincoln-Swanston (W),2020-07-14T02:00:00Z,2020-07-14,12,5
Elizabeth St-La Trobe St (East),2020-07-14T02:00:00Z,2020-07-14,12,NA
Lonsdale St - Elizabeth St (North),2020-07-14T02:00:00Z,2020-07-14,12,182
Bourke St Bridge,2020-07-14T02:00:00Z,2020-07-14,12,90
Bourke St - Spencer St (North),2020-07-14T02:00:00Z,2020-07-14,12,259
RMIT Bld 80 - 445 Swanston Street,2020-07-14T02:00:00Z,2020-07-14,12,91
Flinders La-Swanston St (West) Temporary,2020-07-14T02:00:00Z,2020-07-14,12,NA
RMIT Building 14,2020-07-14T02:00:00Z,2020-07-14,12,249
380 Elizabeth St,2020-07-14T02:00:00Z,2020-07-14,12,599
La Trobe St (North),2020-07-14T02:00:00Z,2020-07-14,12,NA
231 Bourke St,2020-07-14T02:00:00Z,2020-07-14,12,260
Royal Pde - Grattan St,2020-07-14T02:00:00Z,2020-07-14,12,143
Bourke Street Mall (North),2020-07-14T03:00:00Z,2020-07-14,13,634
Bourke Street Mall (South),2020-07-14T03:00:00Z,2020-07-14,13,508
Melbourne Central,2020-07-14T03:00:00Z,2020-07-14,13,496
Town Hall (West),2020-07-14T03:00:00Z,2020-07-14,13,691
Princes Bridge,2020-07-14T03:00:00Z,2020-07-14,13,419
Flinders Street Station Underpass,2020-07-14T03:00:00Z,2020-07-14,13,302
Birrarung Marr,2020-07-14T03:00:00Z,2020-07-14,13,157
Webb Bridge,2020-07-14T03:00:00Z,2020-07-14,13,217
Southern Cross Station,2020-07-14T03:00:00Z,2020-07-14,13,172
Victoria Point,2020-07-14T03:00:00Z,2020-07-14,13,54
Waterfront City,2020-07-14T03:00:00Z,2020-07-14,13,63
New Quay,2020-07-14T03:00:00Z,2020-07-14,13,182
Flagstaff Station,2020-07-14T03:00:00Z,2020-07-14,13,NA
Sandridge Bridge,2020-07-14T03:00:00Z,2020-07-14,13,15
State Library,2020-07-14T03:00:00Z,2020-07-14,13,NA
Collins St (North),2020-07-14T03:00:00Z,2020-07-14,13,462
Collins Place (South),2020-07-14T03:00:00Z,2020-07-14,13,253
Collins Place (North),2020-07-14T03:00:00Z,2020-07-14,13,143
Chinatown-Swanston St (North),2020-07-14T03:00:00Z,2020-07-14,13,201
Chinatown-Lt Bourke St (South),2020-07-14T03:00:00Z,2020-07-14,13,73
Bourke St-Russell St (West),2020-07-14T03:00:00Z,2020-07-14,13,NA
Flinders St-Elizabeth St (East),2020-07-14T03:00:00Z,2020-07-14,13,940
Spencer St-Collins St (South),2020-07-14T03:00:00Z,2020-07-14,13,170
Spencer St-Collins St (North),2020-07-14T03:00:00Z,2020-07-14,13,491
Melbourne Convention Exhibition Centre,2020-07-14T03:00:00Z,2020-07-14,13,448
QV Market-Elizabeth St (West),2020-07-14T03:00:00Z,2020-07-14,13,563
QV Market-Peel St,2020-07-14T03:00:00Z,2020-07-14,13,152
The Arts Centre,2020-07-14T03:00:00Z,2020-07-14,13,231
St Kilda Rd-Alexandra Gardens,2020-07-14T03:00:00Z,2020-07-14,13,100
Lonsdale St (South),2020-07-14T03:00:00Z,2020-07-14,13,181
Lygon St (West),2020-07-14T03:00:00Z,2020-07-14,13,132
City Square,2020-07-14T03:00:00Z,2020-07-14,13,NA
Flinders St-Spring St (West),2020-07-14T03:00:00Z,2020-07-14,13,NA
Flinders St-Spark La,2020-07-14T03:00:00Z,2020-07-14,13,69
Southbank,2020-07-14T03:00:00Z,2020-07-14,13,413
Queen St (West),2020-07-14T03:00:00Z,2020-07-14,13,176
Lygon St (East),2020-07-14T03:00:00Z,2020-07-14,13,117
Alfred Place,2020-07-14T03:00:00Z,2020-07-14,13,94
Lonsdale St-Spring St (West),2020-07-14T03:00:00Z,2020-07-14,13,143
Grattan St-Swanston St (West),2020-07-14T03:00:00Z,2020-07-14,13,105
Monash Rd-Swanston St (West),2020-07-14T03:00:00Z,2020-07-14,13,45
Tin Alley-Swanston St (West),2020-07-14T03:00:00Z,2020-07-14,13,29
Little Collins St-Swanston St (East),2020-07-14T03:00:00Z,2020-07-14,13,344
Flinders La-Swanston St (West),2020-07-14T03:00:00Z,2020-07-14,13,748
Pelham St (South),2020-07-14T03:00:00Z,2020-07-14,13,49
Melbourne Central-Elizabeth St (East),2020-07-14T03:00:00Z,2020-07-14,13,524
QVM-Queen St (East),2020-07-14T03:00:00Z,2020-07-14,13,263
QVM-Therry St (South),2020-07-14T03:00:00Z,2020-07-14,13,169
Faraday St-Lygon St (West),2020-07-14T03:00:00Z,2020-07-14,13,147
QVM-Franklin St (North),2020-07-14T03:00:00Z,2020-07-14,13,127
Elizabeth St-Lonsdale St (South),2020-07-14T03:00:00Z,2020-07-14,13,150
Lincoln-Swanston (W),2020-07-14T03:00:00Z,2020-07-14,13,2
Elizabeth St-La Trobe St (East),2020-07-14T03:00:00Z,2020-07-14,13,NA
Lonsdale St - Elizabeth St (North),2020-07-14T03:00:00Z,2020-07-14,13,182
Bourke St Bridge,2020-07-14T03:00:00Z,2020-07-14,13,81
Bourke St - Spencer St (North),2020-07-14T03:00:00Z,2020-07-14,13,337
RMIT Bld 80 - 445 Swanston Street,2020-07-14T03:00:00Z,2020-07-14,13,70
Flinders La-Swanston St (West) Temporary,2020-07-14T03:00:00Z,2020-07-14,13,NA
RMIT Building 14,2020-07-14T03:00:00Z,2020-07-14,13,192
380 Elizabeth St,2020-07-14T03:00:00Z,2020-07-14,13,724
La Trobe St (North),2020-07-14T03:00:00Z,2020-07-14,13,NA
231 Bourke St,2020-07-14T03:00:00Z,2020-07-14,13,274
Royal Pde - Grattan St,2020-07-14T03:00:00Z,2020-07-14,13,138
Bourke Street Mall (North),2020-07-14T04:00:00Z,2020-07-14,14,658
Bourke Street Mall (South),2020-07-14T04:00:00Z,2020-07-14,14,476
Melbourne Central,2020-07-14T04:00:00Z,2020-07-14,14,456
Town Hall (West),2020-07-14T04:00:00Z,2020-07-14,14,714
Princes Bridge,2020-07-14T04:00:00Z,2020-07-14,14,422
Flinders Street Station Underpass,2020-07-14T04:00:00Z,2020-07-14,14,334
Birrarung Marr,2020-07-14T04:00:00Z,2020-07-14,14,152
Webb Bridge,2020-07-14T04:00:00Z,2020-07-14,14,183
Southern Cross Station,2020-07-14T04:00:00Z,2020-07-14,14,143
Victoria Point,2020-07-14T04:00:00Z,2020-07-14,14,48
Waterfront City,2020-07-14T04:00:00Z,2020-07-14,14,51
New Quay,2020-07-14T04:00:00Z,2020-07-14,14,152
Flagstaff Station,2020-07-14T04:00:00Z,2020-07-14,14,NA
Sandridge Bridge,2020-07-14T04:00:00Z,2020-07-14,14,8
State Library,2020-07-14T04:00:00Z,2020-07-14,14,NA
Collins St (North),2020-07-14T04:00:00Z,2020-07-14,14,420
Collins Place (South),2020-07-14T04:00:00Z,2020-07-14,14,178
Collins Place (North),2020-07-14T04:00:00Z,2020-07-14,14,110
Chinatown-Swanston St (North),2020-07-14T04:00:00Z,2020-07-14,14,197
Chinatown-Lt Bourke St (South),2020-07-14T04:00:00Z,2020-07-14,14,87
Bourke St-Russell St (West),2020-07-14T04:00:00Z,2020-07-14,14,NA
Flinders St-Elizabeth St (East),2020-07-14T04:00:00Z,2020-07-14,14,998
Spencer St-Collins St (South),2020-07-14T04:00:00Z,2020-07-14,14,119
Spencer St-Collins St (North),2020-07-14T04:00:00Z,2020-07-14,14,489
Melbourne Convention Exhibition Centre,2020-07-14T04:00:00Z,2020-07-14,14,402
QV Market-Elizabeth St (West),2020-07-14T04:00:00Z,2020-07-14,14,557
QV Market-Peel St,2020-07-14T04:00:00Z,2020-07-14,14,145
The Arts Centre,2020-07-14T04:00:00Z,2020-07-14,14,246
St Kilda Rd-Alexandra Gardens,2020-07-14T04:00:00Z,2020-07-14,14,116
Lonsdale St (South),2020-07-14T04:00:00Z,2020-07-14,14,204
Lygon St (West),2020-07-14T04:00:00Z,2020-07-14,14,119
City Square,2020-07-14T04:00:00Z,2020-07-14,14,NA
Flinders St-Spring St (West),2020-07-14T04:00:00Z,2020-07-14,14,NA
Flinders St-Spark La,2020-07-14T04:00:00Z,2020-07-14,14,56
Southbank,2020-07-14T04:00:00Z,2020-07-14,14,373
Queen St (West),2020-07-14T04:00:00Z,2020-07-14,14,130
Lygon St (East),2020-07-14T04:00:00Z,2020-07-14,14,60
Alfred Place,2020-07-14T04:00:00Z,2020-07-14,14,62
Lonsdale St-Spring St (West),2020-07-14T04:00:00Z,2020-07-14,14,111
Grattan St-Swanston St (West),2020-07-14T04:00:00Z,2020-07-14,14,92
Monash Rd-Swanston St (West),2020-07-14T04:00:00Z,2020-07-14,14,62
Tin Alley-Swanston St (West),2020-07-14T04:00:00Z,2020-07-14,14,34
Little Collins St-Swanston St (East),2020-07-14T04:00:00Z,2020-07-14,14,324
Flinders La-Swanston St (West),2020-07-14T04:00:00Z,2020-07-14,14,774
Pelham St (South),2020-07-14T04:00:00Z,2020-07-14,14,43
Melbourne Central-Elizabeth St (East),2020-07-14T04:00:00Z,2020-07-14,14,579
QVM-Queen St (East),2020-07-14T04:00:00Z,2020-07-14,14,298
QVM-Therry St (South),2020-07-14T04:00:00Z,2020-07-14,14,165
Faraday St-Lygon St (West),2020-07-14T04:00:00Z,2020-07-14,14,126
QVM-Franklin St (North),2020-07-14T04:00:00Z,2020-07-14,14,118
Elizabeth St-Lonsdale St (South),2020-07-14T04:00:00Z,2020-07-14,14,151
Lincoln-Swanston (W),2020-07-14T04:00:00Z,2020-07-14,14,2
Elizabeth St-La Trobe St (East),2020-07-14T04:00:00Z,2020-07-14,14,NA
Lonsdale St - Elizabeth St (North),2020-07-14T04:00:00Z,2020-07-14,14,135
Bourke St Bridge,2020-07-14T04:00:00Z,2020-07-14,14,80
Bourke St - Spencer St (North),2020-07-14T04:00:00Z,2020-07-14,14,279
RMIT Bld 80 - 445 Swanston Street,2020-07-14T04:00:00Z,2020-07-14,14,59
Flinders La-Swanston St (West) Temporary,2020-07-14T04:00:00Z,2020-07-14,14,NA
RMIT Building 14,2020-07-14T04:00:00Z,2020-07-14,14,219
380 Elizabeth St,2020-07-14T04:00:00Z,2020-07-14,14,847
La Trobe St (North),2020-07-14T04:00:00Z,2020-07-14,14,NA
231 Bourke St,2020-07-14T04:00:00Z,2020-07-14,14,232
Royal Pde - Grattan St,2020-07-14T04:00:00Z,2020-07-14,14,NA
Bourke Street Mall (North),2020-07-14T05:00:00Z,2020-07-14,15,667
Bourke Street Mall (South),2020-07-14T05:00:00Z,2020-07-14,15,479
Melbourne Central,2020-07-14T05:00:00Z,2020-07-14,15,474
Town Hall (West),2020-07-14T05:00:00Z,2020-07-14,15,686
Princes Bridge,2020-07-14T05:00:00Z,2020-07-14,15,423
Flinders Street Station Underpass,2020-07-14T05:00:00Z,2020-07-14,15,362
Birrarung Marr,2020-07-14T05:00:00Z,2020-07-14,15,148
Webb Bridge,2020-07-14T05:00:00Z,2020-07-14,15,193
Southern Cross Station,2020-07-14T05:00:00Z,2020-07-14,15,185
Victoria Point,2020-07-14T05:00:00Z,2020-07-14,15,46
Waterfront City,2020-07-14T05:00:00Z,2020-07-14,15,51
New Quay,2020-07-14T05:00:00Z,2020-07-14,15,207
Flagstaff Station,2020-07-14T05:00:00Z,2020-07-14,15,NA
Sandridge Bridge,2020-07-14T05:00:00Z,2020-07-14,15,15
State Library,2020-07-14T05:00:00Z,2020-07-14,15,NA
Collins St (North),2020-07-14T05:00:00Z,2020-07-14,15,411
Collins Place (South),2020-07-14T05:00:00Z,2020-07-14,15,212
Collins Place (North),2020-07-14T05:00:00Z,2020-07-14,15,116
Chinatown-Swanston St (North),2020-07-14T05:00:00Z,2020-07-14,15,227
Chinatown-Lt Bourke St (South),2020-07-14T05:00:00Z,2020-07-14,15,100
Bourke St-Russell St (West),2020-07-14T05:00:00Z,2020-07-14,15,NA
Flinders St-Elizabeth St (East),2020-07-14T05:00:00Z,2020-07-14,15,1019
Spencer St-Collins St (South),2020-07-14T05:00:00Z,2020-07-14,15,112
Spencer St-Collins St (North),2020-07-14T05:00:00Z,2020-07-14,15,519
Melbourne Convention Exhibition Centre,2020-07-14T05:00:00Z,2020-07-14,15,421
QV Market-Elizabeth St (West),2020-07-14T05:00:00Z,2020-07-14,15,351
QV Market-Peel St,2020-07-14T05:00:00Z,2020-07-14,15,98
The Arts Centre,2020-07-14T05:00:00Z,2020-07-14,15,297
St Kilda Rd-Alexandra Gardens,2020-07-14T05:00:00Z,2020-07-14,15,114
Lonsdale St (South),2020-07-14T05:00:00Z,2020-07-14,15,173
Lygon St (West),2020-07-14T05:00:00Z,2020-07-14,15,136
City Square,2020-07-14T05:00:00Z,2020-07-14,15,NA
Flinders St-Spring St (West),2020-07-14T05:00:00Z,2020-07-14,15,NA
Flinders St-Spark La,2020-07-14T05:00:00Z,2020-07-14,15,63
Southbank,2020-07-14T05:00:00Z,2020-07-14,15,385
Queen St (West),2020-07-14T05:00:00Z,2020-07-14,15,129
Lygon St (East),2020-07-14T05:00:00Z,2020-07-14,15,75
Alfred Place,2020-07-14T05:00:00Z,2020-07-14,15,53
Lonsdale St-Spring St (West),2020-07-14T05:00:00Z,2020-07-14,15,100
Grattan St-Swanston St (West),2020-07-14T05:00:00Z,2020-07-14,15,84
Monash Rd-Swanston St (West),2020-07-14T05:00:00Z,2020-07-14,15,60
Tin Alley-Swanston St (West),2020-07-14T05:00:00Z,2020-07-14,15,39
Little Collins St-Swanston St (East),2020-07-14T05:00:00Z,2020-07-14,15,318
Flinders La-Swanston St (West),2020-07-14T05:00:00Z,2020-07-14,15,778
Pelham St (South),2020-07-14T05:00:00Z,2020-07-14,15,60
Melbourne Central-Elizabeth St (East),2020-07-14T05:00:00Z,2020-07-14,15,686
QVM-Queen St (East),2020-07-14T05:00:00Z,2020-07-14,15,182
QVM-Therry St (South),2020-07-14T05:00:00Z,2020-07-14,15,106
Faraday St-Lygon St (West),2020-07-14T05:00:00Z,2020-07-14,15,151
QVM-Franklin St (North),2020-07-14T05:00:00Z,2020-07-14,15,119
Elizabeth St-Lonsdale St (South),2020-07-14T05:00:00Z,2020-07-14,15,149
Lincoln-Swanston (W),2020-07-14T05:00:00Z,2020-07-14,15,2
Elizabeth St-La Trobe St (East),2020-07-14T05:00:00Z,2020-07-14,15,NA
Lonsdale St - Elizabeth St (North),2020-07-14T05:00:00Z,2020-07-14,15,161
Bourke St Bridge,2020-07-14T05:00:00Z,2020-07-14,15,111
Bourke St - Spencer St (North),2020-07-14T05:00:00Z,2020-07-14,15,286
RMIT Bld 80 - 445 Swanston Street,2020-07-14T05:00:00Z,2020-07-14,15,69
Flinders La-Swanston St (West) Temporary,2020-07-14T05:00:00Z,2020-07-14,15,NA
RMIT Building 14,2020-07-14T05:00:00Z,2020-07-14,15,266
380 Elizabeth St,2020-07-14T05:00:00Z,2020-07-14,15,921
La Trobe St (North),2020-07-14T05:00:00Z,2020-07-14,15,NA
231 Bourke St,2020-07-14T05:00:00Z,2020-07-14,15,259
Royal Pde - Grattan St,2020-07-14T05:00:00Z,2020-07-14,15,NA
Bourke Street Mall (North),2020-07-14T06:00:00Z,2020-07-14,16,750
Bourke Street Mall (South),2020-07-14T06:00:00Z,2020-07-14,16,439
Melbourne Central,2020-07-14T06:00:00Z,2020-07-14,16,518
Town Hall (West),2020-07-14T06:00:00Z,2020-07-14,16,569
Princes Bridge,2020-07-14T06:00:00Z,2020-07-14,16,471
Flinders Street Station Underpass,2020-07-14T06:00:00Z,2020-07-14,16,398
Birrarung Marr,2020-07-14T06:00:00Z,2020-07-14,16,221
Webb Bridge,2020-07-14T06:00:00Z,2020-07-14,16,241
Southern Cross Station,2020-07-14T06:00:00Z,2020-07-14,16,271
Victoria Point,2020-07-14T06:00:00Z,2020-07-14,16,46
Waterfront City,2020-07-14T06:00:00Z,2020-07-14,16,84
New Quay,2020-07-14T06:00:00Z,2020-07-14,16,292
Flagstaff Station,2020-07-14T06:00:00Z,2020-07-14,16,NA
Sandridge Bridge,2020-07-14T06:00:00Z,2020-07-14,16,8
State Library,2020-07-14T06:00:00Z,2020-07-14,16,NA
Collins St (North),2020-07-14T06:00:00Z,2020-07-14,16,321
Collins Place (South),2020-07-14T06:00:00Z,2020-07-14,16,163
Collins Place (North),2020-07-14T06:00:00Z,2020-07-14,16,152
Chinatown-Swanston St (North),2020-07-14T06:00:00Z,2020-07-14,16,227
Chinatown-Lt Bourke St (South),2020-07-14T06:00:00Z,2020-07-14,16,47
Bourke St-Russell St (West),2020-07-14T06:00:00Z,2020-07-14,16,NA
Flinders St-Elizabeth St (East),2020-07-14T06:00:00Z,2020-07-14,16,1255
Spencer St-Collins St (South),2020-07-14T06:00:00Z,2020-07-14,16,155
Spencer St-Collins St (North),2020-07-14T06:00:00Z,2020-07-14,16,644
Melbourne Convention Exhibition Centre,2020-07-14T06:00:00Z,2020-07-14,16,513
QV Market-Elizabeth St (West),2020-07-14T06:00:00Z,2020-07-14,16,286
QV Market-Peel St,2020-07-14T06:00:00Z,2020-07-14,16,85
The Arts Centre,2020-07-14T06:00:00Z,2020-07-14,16,269
St Kilda Rd-Alexandra Gardens,2020-07-14T06:00:00Z,2020-07-14,16,135
Lonsdale St (South),2020-07-14T06:00:00Z,2020-07-14,16,162
Lygon St (West),2020-07-14T06:00:00Z,2020-07-14,16,121
City Square,2020-07-14T06:00:00Z,2020-07-14,16,NA
Flinders St-Spring St (West),2020-07-14T06:00:00Z,2020-07-14,16,NA
Flinders St-Spark La,2020-07-14T06:00:00Z,2020-07-14,16,40
Southbank,2020-07-14T06:00:00Z,2020-07-14,16,417
Queen St (West),2020-07-14T06:00:00Z,2020-07-14,16,127
Lygon St (East),2020-07-14T06:00:00Z,2020-07-14,16,65
Alfred Place,2020-07-14T06:00:00Z,2020-07-14,16,50
Lonsdale St-Spring St (West),2020-07-14T06:00:00Z,2020-07-14,16,94
Grattan St-Swanston St (West),2020-07-14T06:00:00Z,2020-07-14,16,81
Monash Rd-Swanston St (West),2020-07-14T06:00:00Z,2020-07-14,16,65
Tin Alley-Swanston St (West),2020-07-14T06:00:00Z,2020-07-14,16,52
Little Collins St-Swanston St (East),2020-07-14T06:00:00Z,2020-07-14,16,340
Flinders La-Swanston St (West),2020-07-14T06:00:00Z,2020-07-14,16,724
Pelham St (South),2020-07-14T06:00:00Z,2020-07-14,16,56
Melbourne Central-Elizabeth St (East),2020-07-14T06:00:00Z,2020-07-14,16,653
QVM-Queen St (East),2020-07-14T06:00:00Z,2020-07-14,16,106
QVM-Therry St (South),2020-07-14T06:00:00Z,2020-07-14,16,72
Faraday St-Lygon St (West),2020-07-14T06:00:00Z,2020-07-14,16,162
QVM-Franklin St (North),2020-07-14T06:00:00Z,2020-07-14,16,100
Elizabeth St-Lonsdale St (South),2020-07-14T06:00:00Z,2020-07-14,16,171
Lincoln-Swanston (W),2020-07-14T06:00:00Z,2020-07-14,16,4
Elizabeth St-La Trobe St (East),2020-07-14T06:00:00Z,2020-07-14,16,NA
Lonsdale St - Elizabeth St (North),2020-07-14T06:00:00Z,2020-07-14,16,155
Bourke St Bridge,2020-07-14T06:00:00Z,2020-07-14,16,96
Bourke St - Spencer St (North),2020-07-14T06:00:00Z,2020-07-14,16,313
RMIT Bld 80 - 445 Swanston Street,2020-07-14T06:00:00Z,2020-07-14,16,73
Flinders La-Swanston St (West) Temporary,2020-07-14T06:00:00Z,2020-07-14,16,NA
RMIT Building 14,2020-07-14T06:00:00Z,2020-07-14,16,228
380 Elizabeth St,2020-07-14T06:00:00Z,2020-07-14,16,857
La Trobe St (North),2020-07-14T06:00:00Z,2020-07-14,16,NA
231 Bourke St,2020-07-14T06:00:00Z,2020-07-14,16,191
Royal Pde - Grattan St,2020-07-14T06:00:00Z,2020-07-14,16,NA
Bourke Street Mall (North),2020-07-14T07:00:00Z,2020-07-14,17,625
Bourke Street Mall (South),2020-07-14T07:00:00Z,2020-07-14,17,299
Melbourne Central,2020-07-14T07:00:00Z,2020-07-14,17,487
Town Hall (West),2020-07-14T07:00:00Z,2020-07-14,17,552
Princes Bridge,2020-07-14T07:00:00Z,2020-07-14,17,530
Flinders Street Station Underpass,2020-07-14T07:00:00Z,2020-07-14,17,493
Birrarung Marr,2020-07-14T07:00:00Z,2020-07-14,17,315
Webb Bridge,2020-07-14T07:00:00Z,2020-07-14,17,295
Southern Cross Station,2020-07-14T07:00:00Z,2020-07-14,17,254
Victoria Point,2020-07-14T07:00:00Z,2020-07-14,17,52
Waterfront City,2020-07-14T07:00:00Z,2020-07-14,17,77
New Quay,2020-07-14T07:00:00Z,2020-07-14,17,315
Flagstaff Station,2020-07-14T07:00:00Z,2020-07-14,17,NA
Sandridge Bridge,2020-07-14T07:00:00Z,2020-07-14,17,12
State Library,2020-07-14T07:00:00Z,2020-07-14,17,NA
Collins St (North),2020-07-14T07:00:00Z,2020-07-14,17,293
Collins Place (South),2020-07-14T07:00:00Z,2020-07-14,17,192
Collins Place (North),2020-07-14T07:00:00Z,2020-07-14,17,156
Chinatown-Swanston St (North),2020-07-14T07:00:00Z,2020-07-14,17,224
Chinatown-Lt Bourke St (South),2020-07-14T07:00:00Z,2020-07-14,17,90
Bourke St-Russell St (West),2020-07-14T07:00:00Z,2020-07-14,17,NA
Flinders St-Elizabeth St (East),2020-07-14T07:00:00Z,2020-07-14,17,1472
Spencer St-Collins St (South),2020-07-14T07:00:00Z,2020-07-14,17,179
